Journal Name,CFP title,CFP authors,Due date,Link to CFP details page
Information Systems Journal,"Causes, Symptoms and Consequences of Social Media-Induced Polarization (SMIP)",N/A,31/01/2021,https://onlinelibrary.wiley.com/pb-assets/assets/13652575/ISJ_SMIP_CFP%20(002).pdf
Information Systems Research,Market Design and Analytics,Ravi Bapna; Martin Bichler; Bob Day; Wolfgang Ketter,10/01/2020,https://pubsonline.informs.org/doi/full/10.1287/isre.2018.0830
Information Systems Research,"Humans, Algorithms, and Augmented Intelligence: The Future of Work, Organizations, and Society",Hemant Jain; Balaji Padmanabhan; Paul A. Pavlou; Raghu T. Santanam,15/01/2019,https://pubsonline.informs.org/doi/full/10.1287/isre.2018.0784
Journal of the Association for Information Systems,Technololgy and Social Inclusion,N/A,Not Known,https://aisel.aisnet.org/jais/SocialInclusionSI.pdf
Journal of the Association for Information Systems,Data Science for Social Good,N/A,Not Known,https://aisel.aisnet.org/jais/JAISSIonDataScienceforSocialGood.pdf
Journal of Information Technology,Regulation in the Age of Digitalization,N/A,31/12/2020,https://journals.sagepub.com:443/pb-assets/cmscontent/JIN/JIT%20CFP%20SI%20Regulation%20and%20IT%202020-03-08%20DS.pdf
Journal of Information Technology,Emerging Technologies and IS Sourcing,N/A,26/02/2021,https://journals.sagepub.com/pb-assets/cmscontent/JIT%20CFP%20SI%20Emerging%20Technologies%20IS%20Sourcing%20FINAL-1588000712277.pdf
Journal of Management Information Systems,Strategic Integration of Blockchain Technology into Organizations,N/A,Not Known,https://jmis-web.org/cfps/JMIS_SI_CFP_-_Blockchain_strategy.pdf
Journal of Management Information Systems,Fake News on the Internet,N/A,Not Known,https://jmis-web.org/cfps/JMIS_CFP_Fake_News_special_section.pdf
Management Information Systems Quarterly,Digital Resilience,N/A,30/11/2020,https://misq.org/skin/frontend/default/misq/pdf/CurrentCalls/DigitalResilience.pdf
